Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
583262,4 Com Sgl,05/06/2019,08/05/2019,126.8,91
583262,5 Com Mul,03/23/2020,09/15/2020,16.5,176
583262,8 CFII,10/14/2019,11/26/2019,7.1,43
583263,1 Intro,02/08/2019,03/06/2019,13.1,26
583263,3 Inst,02/04/2019,07/03/2019,40.8,149
583263,4 Com Sgl,07/26/2019,07/12/2020,153.2,352
583263,5 Com Mul,04/01/2021,05/13/2021,19.4,42
583263,6 CFI,03/16/2020,01/21/2021,33.3,311
583263,8 CFII,01/22/2021,03/31/2021,15.6,68
583266,1 Intro,02/04/2019,03/21/2019,6.3,45
583266,3 Inst,02/22/2019,05/03/2019,33.7,70
583266,4 Com Sgl,05/22/2019,11/02/2019,144.5,164
583266,5 Com Mul,11/14/2019,12/12/2019,18.0,28
583266,6 CFI,12/16/2019,02/14/2020,8.8,60
583266,8 CFII,05/04/2020,06/25/2020,8.6,52
583267,1 Intro,02/04/2019,03/18/2019,13.6,42
583268,1 Intro,02/04/2019,02/27/2019,11.3,23
589480,1 Intro,03/27/2019,03/27/2019,9.7,0
589480,3 Inst,03/28/2019,08/01/2019,49.6,126
589480,4 Com Sgl,08/30/2019,05/28/2020,120.5,272
589480,5 Com Mul,05/12/2021,09/16/2021,19.1,127
589480,6 CFI,07/13/2020,10/08/2020,18.9,87
589480,8 CFII,12/07/2020,05/11/2021,8.9,155
589481,2 Private,03/04/2019,07/01/2019,39.1,119
589481,3 Inst,07/09/2019,10/18/2019,51.0,101
589481,4 Com Sgl,10/25/2019,06/17/2020,145.2,236
589481,5 Com Mul,03/15/2021,04/19/2021,15.2,35
589481,6 CFI,03/16/2020,10/30/2020,16.9,228
589481,8 CFII,11/04/2020,03/14/2021,19.0,130
589482,1 Intro,03/04/2019,03/26/2019,12.5,22
589482,3 Inst,03/27/2019,05/24/2019,33.7,58
589482,4 Com Sgl,06/26/2019,12/04/2019,125.5,161
589482,5 Com Mul,12/07/2020,03/01/2021,15.6,84
589482,6 CFI,12/16/2019,02/11/2020,9.0,57
589482,8 CFII,05/04/2020,06/20/2020,7.4,47
589483,1 Intro,03/04/2019,03/20/2019,8.1,16
589484,1 Intro,03/04/2019,04/01/2019,11.1,28
589484,3 Inst,04/01/2019,07/09/2019,45.8,99
589484,4 Com Sgl,08/06/2019,06/09/2020,158.7,308
589485,2 Private,03/04/2019,08/01/2019,51.4,150
589485,3 Inst,08/16/2019,08/03/2020,85.0,353
589486,1 Intro,03/04/2019,03/28/2019,6.3,24
